2017-10-14 02:33:42.466559: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX
WARNING:tensorflow:From train.py:165: get_or_create_global_step (from tensorflow.contrib.framework.python.ops.variables) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.get_or_create_global_step
INFO:tensorflow:Training from step: 1 
INFO:tensorflow:Step #1: rate 0.001000, accuracy 5.0%, cross entropy 2.575863
INFO:tensorflow:Step #2: rate 0.001000, accuracy 11.0%, cross entropy 2.542113
INFO:tensorflow:Step #3: rate 0.001000, accuracy 8.0%, cross entropy 2.585946
INFO:tensorflow:Step #4: rate 0.001000, accuracy 15.0%, cross entropy 2.359244
INFO:tensorflow:Step #5: rate 0.001000, accuracy 16.0%, cross entropy 2.409095
INFO:tensorflow:Step #6: rate 0.001000, accuracy 10.0%, cross entropy 2.456028
INFO:tensorflow:Step #7: rate 0.001000, accuracy 14.0%, cross entropy 2.497293
INFO:tensorflow:Step #8: rate 0.001000, accuracy 10.0%, cross entropy 2.584144
INFO:tensorflow:Step #9: rate 0.001000, accuracy 8.0%, cross entropy 2.499696
INFO:tensorflow:Step #10: rate 0.001000, accuracy 8.0%, cross entropy 2.544482
INFO:tensorflow:Step #11: rate 0.001000, accuracy 10.0%, cross entropy 2.488097
INFO:tensorflow:Step #12: rate 0.001000, accuracy 3.0%, cross entropy 2.520633
INFO:tensorflow:Step #13: rate 0.001000, accuracy 9.0%, cross entropy 2.505492
INFO:tensorflow:Step #14: rate 0.001000, accuracy 11.0%, cross entropy 2.517977
INFO:tensorflow:Step #15: rate 0.001000, accuracy 9.0%, cross entropy 2.527933
INFO:tensorflow:Step #16: rate 0.001000, accuracy 11.0%, cross entropy 2.464923
INFO:tensorflow:Step #17: rate 0.001000, accuracy 16.0%, cross entropy 2.409066
INFO:tensorflow:Step #18: rate 0.001000, accuracy 8.0%, cross entropy 2.507457
INFO:tensorflow:Step #19: rate 0.001000, accuracy 11.0%, cross entropy 2.478293
INFO:tensorflow:Step #20: rate 0.001000, accuracy 8.0%, cross entropy 2.542134
INFO:tensorflow:Step #21: rate 0.001000, accuracy 10.0%, cross entropy 2.439654
INFO:tensorflow:Step #22: rate 0.001000, accuracy 8.0%, cross entropy 2.537575
INFO:tensorflow:Step #23: rate 0.001000, accuracy 14.0%, cross entropy 2.442666
INFO:tensorflow:Step #24: rate 0.001000, accuracy 14.0%, cross entropy 2.460897
INFO:tensorflow:Step #25: rate 0.001000, accuracy 10.0%, cross entropy 2.432188
INFO:tensorflow:Step #26: rate 0.001000, accuracy 11.0%, cross entropy 2.467607
INFO:tensorflow:Step #27: rate 0.001000, accuracy 18.0%, cross entropy 2.467774
INFO:tensorflow:Step #28: rate 0.001000, accuracy 12.0%, cross entropy 2.448040
INFO:tensorflow:Step #29: rate 0.001000, accuracy 13.0%, cross entropy 2.425304
INFO:tensorflow:Step #30: rate 0.001000, accuracy 10.0%, cross entropy 2.477477
INFO:tensorflow:Step #31: rate 0.001000, accuracy 18.0%, cross entropy 2.412009
INFO:tensorflow:Step #32: rate 0.001000, accuracy 17.0%, cross entropy 2.419755
INFO:tensorflow:Step #33: rate 0.001000, accuracy 11.0%, cross entropy 2.544722
INFO:tensorflow:Step #34: rate 0.001000, accuracy 11.0%, cross entropy 2.408606
INFO:tensorflow:Step #35: rate 0.001000, accuracy 11.0%, cross entropy 2.506363
INFO:tensorflow:Step #36: rate 0.001000, accuracy 11.0%, cross entropy 2.501338
INFO:tensorflow:Step #37: rate 0.001000, accuracy 18.0%, cross entropy 2.447508
INFO:tensorflow:Step #38: rate 0.001000, accuracy 8.0%, cross entropy 2.507532
INFO:tensorflow:Step #39: rate 0.001000, accuracy 22.0%, cross entropy 2.403021
INFO:tensorflow:Step #40: rate 0.001000, accuracy 16.0%, cross entropy 2.432266
INFO:tensorflow:Step #41: rate 0.001000, accuracy 13.0%, cross entropy 2.435784
INFO:tensorflow:Step #42: rate 0.001000, accuracy 12.0%, cross entropy 2.487824
INFO:tensorflow:Step #43: rate 0.001000, accuracy 12.0%, cross entropy 2.476405
INFO:tensorflow:Step #44: rate 0.001000, accuracy 12.0%, cross entropy 2.463374
INFO:tensorflow:Step #45: rate 0.001000, accuracy 15.0%, cross entropy 2.445223
INFO:tensorflow:Step #46: rate 0.001000, accuracy 12.0%, cross entropy 2.468672
INFO:tensorflow:Step #47: rate 0.001000, accuracy 11.0%, cross entropy 2.503318
INFO:tensorflow:Step #48: rate 0.001000, accuracy 24.0%, cross entropy 2.420766
INFO:tensorflow:Step #49: rate 0.001000, accuracy 17.0%, cross entropy 2.415815
INFO:tensorflow:Step #50: rate 0.001000, accuracy 10.0%, cross entropy 2.438279
INFO:tensorflow:Step #51: rate 0.001000, accuracy 11.0%, cross entropy 2.422679
INFO:tensorflow:Step #52: rate 0.001000, accuracy 14.0%, cross entropy 2.485645
INFO:tensorflow:Step #53: rate 0.001000, accuracy 12.0%, cross entropy 2.494213
INFO:tensorflow:Step #54: rate 0.001000, accuracy 16.0%, cross entropy 2.412526
INFO:tensorflow:Step #55: rate 0.001000, accuracy 11.0%, cross entropy 2.467763
INFO:tensorflow:Step #56: rate 0.001000, accuracy 17.0%, cross entropy 2.324380
INFO:tensorflow:Step #57: rate 0.001000, accuracy 15.0%, cross entropy 2.437167
INFO:tensorflow:Step #58: rate 0.001000, accuracy 13.0%, cross entropy 2.443050
INFO:tensorflow:Step #59: rate 0.001000, accuracy 16.0%, cross entropy 2.409414
INFO:tensorflow:Step #60: rate 0.001000, accuracy 9.0%, cross entropy 2.505536
INFO:tensorflow:Step #61: rate 0.001000, accuracy 14.0%, cross entropy 2.451990
INFO:tensorflow:Step #62: rate 0.001000, accuracy 12.0%, cross entropy 2.426065
INFO:tensorflow:Step #63: rate 0.001000, accuracy 10.0%, cross entropy 2.464624
INFO:tensorflow:Step #64: rate 0.001000, accuracy 17.0%, cross entropy 2.374145
INFO:tensorflow:Step #65: rate 0.001000, accuracy 17.0%, cross entropy 2.486881
INFO:tensorflow:Step #66: rate 0.001000, accuracy 19.0%, cross entropy 2.379237
INFO:tensorflow:Step #67: rate 0.001000, accuracy 13.0%, cross entropy 2.440407
INFO:tensorflow:Step #68: rate 0.001000, accuracy 18.0%, cross entropy 2.397192
INFO:tensorflow:Step #69: rate 0.001000, accuracy 21.0%, cross entropy 2.372894
INFO:tensorflow:Step #70: rate 0.001000, accuracy 20.0%, cross entropy 2.417676
INFO:tensorflow:Step #71: rate 0.001000, accuracy 12.0%, cross entropy 2.386789
INFO:tensorflow:Step #72: rate 0.001000, accuracy 17.0%, cross entropy 2.373374
INFO:tensorflow:Step #73: rate 0.001000, accuracy 13.0%, cross entropy 2.409764
INFO:tensorflow:Step #74: rate 0.001000, accuracy 14.0%, cross entropy 2.438228
INFO:tensorflow:Step #75: rate 0.001000, accuracy 15.0%, cross entropy 2.398673
INFO:tensorflow:Step #76: rate 0.001000, accuracy 10.0%, cross entropy 2.452979
INFO:tensorflow:Step #77: rate 0.001000, accuracy 16.0%, cross entropy 2.406275
INFO:tensorflow:Step #78: rate 0.001000, accuracy 19.0%, cross entropy 2.408803
INFO:tensorflow:Step #79: rate 0.001000, accuracy 15.0%, cross entropy 2.407728
INFO:tensorflow:Step #80: rate 0.001000, accuracy 15.0%, cross entropy 2.389529
INFO:tensorflow:Step #81: rate 0.001000, accuracy 13.0%, cross entropy 2.356219
INFO:tensorflow:Step #82: rate 0.001000, accuracy 10.0%, cross entropy 2.453638
INFO:tensorflow:Step #83: rate 0.001000, accuracy 17.0%, cross entropy 2.441378
INFO:tensorflow:Step #84: rate 0.001000, accuracy 14.0%, cross entropy 2.447869
INFO:tensorflow:Step #85: rate 0.001000, accuracy 14.0%, cross entropy 2.431062
INFO:tensorflow:Step #86: rate 0.001000, accuracy 21.0%, cross entropy 2.402921
INFO:tensorflow:Step #87: rate 0.001000, accuracy 17.0%, cross entropy 2.379601
INFO:tensorflow:Step #88: rate 0.001000, accuracy 22.0%, cross entropy 2.355309
INFO:tensorflow:Step #89: rate 0.001000, accuracy 27.0%, cross entropy 2.302403
INFO:tensorflow:Step #90: rate 0.001000, accuracy 21.0%, cross entropy 2.386079
INFO:tensorflow:Step #91: rate 0.001000, accuracy 17.0%, cross entropy 2.306473
INFO:tensorflow:Step #92: rate 0.001000, accuracy 21.0%, cross entropy 2.379618
INFO:tensorflow:Step #93: rate 0.001000, accuracy 12.0%, cross entropy 2.416816
INFO:tensorflow:Step #94: rate 0.001000, accuracy 17.0%, cross entropy 2.384631
INFO:tensorflow:Step #95: rate 0.001000, accuracy 19.0%, cross entropy 2.363019
INFO:tensorflow:Step #96: rate 0.001000, accuracy 11.0%, cross entropy 2.388476
INFO:tensorflow:Step #97: rate 0.001000, accuracy 16.0%, cross entropy 2.371831
INFO:tensorflow:Step #98: rate 0.001000, accuracy 17.0%, cross entropy 2.362402
INFO:tensorflow:Step #99: rate 0.001000, accuracy 20.0%, cross entropy 2.409394
INFO:tensorflow:Step #100: rate 0.001000, accuracy 13.0%, cross entropy 2.422217
INFO:tensorflow:Saving to "/tmp/speech_commands_train/conv.ckpt-100"
INFO:tensorflow:Step #101: rate 0.001000, accuracy 19.0%, cross entropy 2.415403
INFO:tensorflow:Step #102: rate 0.001000, accuracy 20.0%, cross entropy 2.406061
INFO:tensorflow:Step #103: rate 0.001000, accuracy 18.0%, cross entropy 2.415311
INFO:tensorflow:Step #104: rate 0.001000, accuracy 11.0%, cross entropy 2.398937
INFO:tensorflow:Step #105: rate 0.001000, accuracy 15.0%, cross entropy 2.333158
INFO:tensorflow:Step #106: rate 0.001000, accuracy 14.0%, cross entropy 2.406786
INFO:tensorflow:Step #107: rate 0.001000, accuracy 18.0%, cross entropy 2.381746
INFO:tensorflow:Step #108: rate 0.001000, accuracy 18.0%, cross entropy 2.422889
INFO:tensorflow:Step #109: rate 0.001000, accuracy 14.0%, cross entropy 2.408369
INFO:tensorflow:Step #110: rate 0.001000, accuracy 22.0%, cross entropy 2.310418
INFO:tensorflow:Step #111: rate 0.001000, accuracy 14.0%, cross entropy 2.449639
INFO:tensorflow:Step #112: rate 0.001000, accuracy 15.0%, cross entropy 2.400317
INFO:tensorflow:Step #113: rate 0.001000, accuracy 17.0%, cross entropy 2.461553
INFO:tensorflow:Step #114: rate 0.001000, accuracy 15.0%, cross entropy 2.394239
INFO:tensorflow:Step #115: rate 0.001000, accuracy 19.0%, cross entropy 2.375090
INFO:tensorflow:Step #116: rate 0.001000, accuracy 14.0%, cross entropy 2.407207
INFO:tensorflow:Step #117: rate 0.001000, accuracy 18.0%, cross entropy 2.349366
INFO:tensorflow:Step #118: rate 0.001000, accuracy 17.0%, cross entropy 2.361813
INFO:tensorflow:Step #119: rate 0.001000, accuracy 9.0%, cross entropy 2.418180
INFO:tensorflow:Step #120: rate 0.001000, accuracy 7.0%, cross entropy 2.450814
INFO:tensorflow:Step #121: rate 0.001000, accuracy 16.0%, cross entropy 2.441646
INFO:tensorflow:Step #122: rate 0.001000, accuracy 22.0%, cross entropy 2.361070
INFO:tensorflow:Step #123: rate 0.001000, accuracy 10.0%, cross entropy 2.499258
INFO:tensorflow:Step #124: rate 0.001000, accuracy 18.0%, cross entropy 2.359825
INFO:tensorflow:Step #125: rate 0.001000, accuracy 20.0%, cross entropy 2.386971
INFO:tensorflow:Step #126: rate 0.001000, accuracy 15.0%, cross entropy 2.391149
INFO:tensorflow:Step #127: rate 0.001000, accuracy 16.0%, cross entropy 2.342544
INFO:tensorflow:Step #128: rate 0.001000, accuracy 12.0%, cross entropy 2.433262
INFO:tensorflow:Step #129: rate 0.001000, accuracy 17.0%, cross entropy 2.403278
INFO:tensorflow:Step #130: rate 0.001000, accuracy 23.0%, cross entropy 2.316293
INFO:tensorflow:Step #131: rate 0.001000, accuracy 9.0%, cross entropy 2.495763
INFO:tensorflow:Step #132: rate 0.001000, accuracy 10.0%, cross entropy 2.448201
INFO:tensorflow:Step #133: rate 0.001000, accuracy 10.0%, cross entropy 2.423577
INFO:tensorflow:Step #134: rate 0.001000, accuracy 20.0%, cross entropy 2.344630
INFO:tensorflow:Step #135: rate 0.001000, accuracy 18.0%, cross entropy 2.446142
INFO:tensorflow:Step #136: rate 0.001000, accuracy 14.0%, cross entropy 2.394676
INFO:tensorflow:Step #137: rate 0.001000, accuracy 13.0%, cross entropy 2.426808
INFO:tensorflow:Step #138: rate 0.001000, accuracy 14.0%, cross entropy 2.420665
INFO:tensorflow:Step #139: rate 0.001000, accuracy 15.0%, cross entropy 2.400717
INFO:tensorflow:Step #140: rate 0.001000, accuracy 26.0%, cross entropy 2.365331
INFO:tensorflow:Step #141: rate 0.001000, accuracy 18.0%, cross entropy 2.391613
INFO:tensorflow:Step #142: rate 0.001000, accuracy 20.0%, cross entropy 2.466654
INFO:tensorflow:Step #143: rate 0.001000, accuracy 12.0%, cross entropy 2.421775
INFO:tensorflow:Step #144: rate 0.001000, accuracy 18.0%, cross entropy 2.417329
INFO:tensorflow:Step #145: rate 0.001000, accuracy 20.0%, cross entropy 2.325167
INFO:tensorflow:Step #146: rate 0.001000, accuracy 19.0%, cross entropy 2.394526
INFO:tensorflow:Step #147: rate 0.001000, accuracy 14.0%, cross entropy 2.420602
INFO:tensorflow:Step #148: rate 0.001000, accuracy 13.0%, cross entropy 2.363425
INFO:tensorflow:Step #149: rate 0.001000, accuracy 11.0%, cross entropy 2.457495
INFO:tensorflow:Step #150: rate 0.001000, accuracy 22.0%, cross entropy 2.317178
INFO:tensorflow:Step #151: rate 0.001000, accuracy 14.0%, cross entropy 2.394811
INFO:tensorflow:Step #152: rate 0.001000, accuracy 21.0%, cross entropy 2.300751
INFO:tensorflow:Step #153: rate 0.001000, accuracy 18.0%, cross entropy 2.368081
INFO:tensorflow:Step #154: rate 0.001000, accuracy 23.0%, cross entropy 2.335903
INFO:tensorflow:Step #155: rate 0.001000, accuracy 8.0%, cross entropy 2.404915
INFO:tensorflow:Step #156: rate 0.001000, accuracy 21.0%, cross entropy 2.300810
INFO:tensorflow:Step #157: rate 0.001000, accuracy 14.0%, cross entropy 2.447725
INFO:tensorflow:Step #158: rate 0.001000, accuracy 14.0%, cross entropy 2.394734
INFO:tensorflow:Step #159: rate 0.001000, accuracy 18.0%, cross entropy 2.347143
INFO:tensorflow:Step #160: rate 0.001000, accuracy 11.0%, cross entropy 2.412838
INFO:tensorflow:Step #161: rate 0.001000, accuracy 12.0%, cross entropy 2.437571
INFO:tensorflow:Step #162: rate 0.001000, accuracy 20.0%, cross entropy 2.296872
INFO:tensorflow:Step #163: rate 0.001000, accuracy 22.0%, cross entropy 2.365925
INFO:tensorflow:Step #164: rate 0.001000, accuracy 16.0%, cross entropy 2.369190
INFO:tensorflow:Step #165: rate 0.001000, accuracy 21.0%, cross entropy 2.333951
INFO:tensorflow:Step #166: rate 0.001000, accuracy 14.0%, cross entropy 2.399375
INFO:tensorflow:Step #167: rate 0.001000, accuracy 18.0%, cross entropy 2.327152
INFO:tensorflow:Step #168: rate 0.001000, accuracy 15.0%, cross entropy 2.448130
INFO:tensorflow:Step #169: rate 0.001000, accuracy 17.0%, cross entropy 2.339128
